,country,month,export_value
0,China,2010-01-01,43966640.0
1,"China, Hong Kong SAR",2010-01-01,10892625.402
2,France,2010-01-01,905461.619
3,Germany,2010-01-01,7770665.253
4,Italy,2010-01-01,150617.739
5,Japan,2010-01-01,23586224.02
6,Malaysia,2010-01-01,19335286.66
7,Netherlands,2010-01-01,634235.531
8,Philippines,2010-01-01,0.0
9,Singapore,2010-01-01,10512042.0
10,Thailand,2010-01-01,793881.0
11,Rep. of Korea,2010-01-01,1998341.0
12,Viet Nam,2010-01-01,0.0
13,China,2010-02-01,47930707.0
14,"China, Hong Kong SAR",2010-02-01,8259905.522
15,France,2010-02-01,656873.769
16,Germany,2010-02-01,7630941.789
17,Italy,2010-02-01,422324.867
18,Japan,2010-02-01,35112617.315
19,Malaysia,2010-02-01,24166111.82
20,Netherlands,2010-02-01,425458.571
21,Philippines,2010-02-01,0.0
22,Singapore,2010-02-01,13599772.0
23,Thailand,2010-02-01,896562.0
24,Rep. of Korea,2010-02-01,2195251.0
25,Viet Nam,2010-02-01,3958.0
26,China,2010-03-01,63274440.0
27,"China, Hong Kong SAR",2010-03-01,9949019.175
28,France,2010-03-01,902426.307
29,Germany,2010-03-01,10939415.55
30,Italy,2010-03-01,173903.724
31,Japan,2010-03-01,36358413.884
32,Malaysia,2010-03-01,10836196.708
33,Netherlands,2010-03-01,389740.62
34,Philippines,2010-03-01,68602.0
35,Singapore,2010-03-01,11363525.0
36,Thailand,2010-03-01,1244836.0
37,Rep. of Korea,2010-03-01,3574792.0
38,Viet Nam,2010-03-01,5659.0
39,China,2010-04-01,47085585.0
40,"China, Hong Kong SAR",2010-04-01,14293073.912
41,France,2010-04-01,999825.597
42,Germany,2010-04-01,11264546.194
43,Italy,2010-04-01,266947.307
44,Japan,2010-04-01,31469556.492
45,Malaysia,2010-04-01,9272907.296
46,Netherlands,2010-04-01,674058.71
47,Philippines,2010-04-01,4283767.0
48,Singapore,2010-04-01,7540855.0
49,Thailand,2010-04-01,978027.0
50,Rep. of Korea,2010-04-01,2822604.0
51,Viet Nam,2010-04-01,0.0
52,China,2010-05-01,75885376.0
53,"China, Hong Kong SAR",2010-05-01,12412544.686
54,France,2010-05-01,1082078.767
55,Germany,2010-05-01,9923278.05
56,Italy,2010-05-01,852868.108
57,Japan,2010-05-01,32869478.903
58,Malaysia,2010-05-01,8066788.739
59,Netherlands,2010-05-01,729427.663
60,Philippines,2010-05-01,618616.0
61,Singapore,2010-05-01,7448178.0
62,Thailand,2010-05-01,1098242.0
63,Rep. of Korea,2010-05-01,2488598.0
64,Viet Nam,2010-05-01,18423.0
65,China,2010-06-01,85780995.0
66,"China, Hong Kong SAR",2010-06-01,11563515.011
67,France,2010-06-01,1491793.07
68,Germany,2010-06-01,11703344.721
69,Italy,2010-06-01,87732.428
70,Japan,2010-06-01,37339368.573
71,Malaysia,2010-06-01,5175726.434
72,Netherlands,2010-06-01,666788.423
73,Philippines,2010-06-01,3042195.0
74,Singapore,2010-06-01,7834780.0
75,Thailand,2010-06-01,1341542.0
76,Rep. of Korea,2010-06-01,3283072.0
77,Viet Nam,2010-06-01,0.0
78,China,2010-07-01,117514260.0
79,"China, Hong Kong SAR",2010-07-01,11054526.438
80,France,2010-07-01,1948368.823
81,Germany,2010-07-01,19716132.635
82,Italy,2010-07-01,297629.834
83,Japan,2010-07-01,39866549.52
84,Malaysia,2010-07-01,25827566.868
85,Netherlands,2010-07-01,708551.19
86,Philippines,2010-07-01,2422620.0
87,Singapore,2010-07-01,15407144.0
88,Thailand,2010-07-01,1240262.0
89,Rep. of Korea,2010-07-01,2582482.0
90,Viet Nam,2010-07-01,0.0
91,China,2010-08-01,145525286.0
92,"China, Hong Kong SAR",2010-08-01,12394559.647
93,France,2010-08-01,1246456.567
94,Germany,2010-08-01,7187187.546
95,Italy,2010-08-01,216407.393
96,Japan,2010-08-01,34011499.455
97,Malaysia,2010-08-01,21350734.568
98,Netherlands,2010-08-01,1329252.891
99,Philippines,2010-08-01,7020020.0
100,Singapore,2010-08-01,11470915.0
101,Thailand,2010-08-01,1948075.0
102,Rep. of Korea,2010-08-01,3494989.0
103,Viet Nam,2010-08-01,520806.0
104,China,2010-09-01,114757646.0
105,"China, Hong Kong SAR",2010-09-01,9411313.018
106,France,2010-09-01,702511.919
107,Germany,2010-09-01,11306009.941
108,Italy,2010-09-01,214731.615
109,Japan,2010-09-01,42517967.207
110,Malaysia,2010-09-01,10142492.884
111,Netherlands,2010-09-01,738438.021
112,Philippines,2010-09-01,1818486.0
113,Singapore,2010-09-01,11455310.0
114,Thailand,2010-09-01,1381222.0
115,Rep. of Korea,2010-09-01,5139960.0
116,Viet Nam,2010-09-01,4651.0
117,China,2010-10-01,126721574.0
118,"China, Hong Kong SAR",2010-10-01,10695803.881
119,France,2010-10-01,1258984.818
120,Germany,2010-10-01,19936676.501
121,Italy,2010-10-01,470038.231
122,Japan,2010-10-01,38078643.756
123,Malaysia,2010-10-01,4967491.587
124,Netherlands,2010-10-01,1146641.47
125,Philippines,2010-10-01,2767596.0
126,Singapore,2010-10-01,24589933.0
127,Thailand,2010-10-01,1140248.0
128,Rep. of Korea,2010-10-01,7038326.0
129,Viet Nam,2010-10-01,0.0
130,China,2010-11-01,218923447.0
131,"China, Hong Kong SAR",2010-11-01,8861942.785
132,France,2010-11-01,646730.071
133,Germany,2010-11-01,14804998.53
134,Italy,2010-11-01,295354.675
135,Japan,2010-11-01,40854625.264
136,Malaysia,2010-11-01,7085561.117
137,Netherlands,2010-11-01,523806.71
138,Philippines,2010-11-01,797550.0
139,Singapore,2010-11-01,7427025.0
140,Thailand,2010-11-01,922120.0
141,Rep. of Korea,2010-11-01,6707354.0
142,Viet Nam,2010-11-01,152809.0
143,China,2010-12-01,211474370.0
144,"China, Hong Kong SAR",2010-12-01,6916110.946
145,France,2010-12-01,867331.877
146,Germany,2010-12-01,12406166.335
147,Italy,2010-12-01,182428.519
148,Japan,2010-12-01,42973704.0
149,Malaysia,2010-12-01,6386129.117
150,Netherlands,2010-12-01,397890.068
151,Philippines,2010-12-01,503821.0
152,Singapore,2010-12-01,11153131.0
153,Thailand,2010-12-01,1199391.0
154,Rep. of Korea,2010-12-01,6484172.0
155,Viet Nam,2010-12-01,0.0
156,China,2011-01-01,187544316.0
157,"China, Hong Kong SAR",2011-01-01,8106325.943
158,France,2011-01-01,1707621.76
159,Germany,2011-01-01,15074597.016
160,Italy,2011-01-01,45677.84
161,Japan,2011-01-01,35035477.29
162,Malaysia,2011-01-01,6177658.108
163,Netherlands,2011-01-01,1019911.752
164,Philippines,2011-01-01,2826283.0
165,Singapore,2011-01-01,15504286.0
166,Thailand,2011-01-01,714551.0
