,country,month,export_value
0,China,2010-01-01,1076208427.0
1,"China, Hong Kong SAR",2010-01-01,144514682.191
2,France,2010-01-01,19770194.299
3,Germany,2010-01-01,408064637.594
4,Italy,2010-01-01,13072834.906
5,Japan,2010-01-01,408487948.31
6,Malaysia,2010-01-01,179036485.97
7,Netherlands,2010-01-01,159309488.45
8,Philippines,2010-01-01,820015.0
9,Singapore,2010-01-01,112738951.0
10,Thailand,2010-01-01,16654307.0
11,USA,2010-01-01,193546981.0
12,Rep. of Korea,2010-01-01,115621456.154
13,Viet Nam,2010-01-01,82034.313
14,China,2010-02-01,1349122671.0
15,"China, Hong Kong SAR",2010-02-01,116416811.801
16,France,2010-02-01,50697019.899
17,Germany,2010-02-01,389129212.5
18,Italy,2010-02-01,35787687.679
19,Japan,2010-02-01,448336065.861
20,Malaysia,2010-02-01,169318534.489
21,Netherlands,2010-02-01,177340098.471
22,Philippines,2010-02-01,1476322.0
23,Singapore,2010-02-01,98722385.0
24,Thailand,2010-02-01,18520818.0
25,USA,2010-02-01,221240151.0
26,Rep. of Korea,2010-02-01,97662589.599
27,Viet Nam,2010-02-01,56997.821
28,China,2010-03-01,1563710204.0
29,"China, Hong Kong SAR",2010-03-01,167389558.559
30,France,2010-03-01,53844842.121
31,Germany,2010-03-01,505027951.697
32,Italy,2010-03-01,56754324.558
33,Japan,2010-03-01,522321999.253
34,Malaysia,2010-03-01,207919641.592
35,Netherlands,2010-03-01,314515827.62
36,Philippines,2010-03-01,54045707.0
37,Singapore,2010-03-01,132644451.0
38,Thailand,2010-03-01,22558883.0
39,USA,2010-03-01,266287660.0
40,Rep. of Korea,2010-03-01,171298019.351
41,Viet Nam,2010-03-01,332887.031
42,China,2010-04-01,1567514159.0
43,"China, Hong Kong SAR",2010-04-01,205648299.927
44,France,2010-04-01,42016916.183
45,Germany,2010-04-01,535716724.452
46,Italy,2010-04-01,37650135.555
47,Japan,2010-04-01,544496174.109
48,Malaysia,2010-04-01,230168890.335
49,Netherlands,2010-04-01,285696487.195
50,Philippines,2010-04-01,36343098.0
51,Singapore,2010-04-01,122514612.0
52,Thailand,2010-04-01,15487402.0
53,USA,2010-04-01,294619890.0
54,Rep. of Korea,2010-04-01,180432521.902
55,Viet Nam,2010-04-01,42842.93
56,China,2010-05-01,1929563025.0
57,"China, Hong Kong SAR",2010-05-01,181272699.213
58,France,2010-05-01,60879888.174
59,Germany,2010-05-01,476819839.036
60,Italy,2010-05-01,38934214.055
61,Japan,2010-05-01,513712284.689
62,Malaysia,2010-05-01,201261674.713
63,Netherlands,2010-05-01,359216706.493
64,Philippines,2010-05-01,29865099.0
65,Singapore,2010-05-01,148182302.0
66,Thailand,2010-05-01,21529331.0
67,USA,2010-05-01,271621835.0
68,Rep. of Korea,2010-05-01,176486381.50100002
69,Viet Nam,2010-05-01,93974.337
70,China,2010-06-01,1879737659.0
71,"China, Hong Kong SAR",2010-06-01,200033446.372
72,France,2010-06-01,69649318.044
73,Germany,2010-06-01,553154666.863
74,Italy,2010-06-01,41975712.48
75,Japan,2010-06-01,540060379.359
76,Malaysia,2010-06-01,225620023.557
77,Netherlands,2010-06-01,454652475.139
78,Philippines,2010-06-01,39215189.0
79,Singapore,2010-06-01,172195992.0
80,Thailand,2010-06-01,26724956.0
81,USA,2010-06-01,308226101.0
82,Rep. of Korea,2010-06-01,239331809.553
83,Viet Nam,2010-06-01,153434.251
84,China,2010-07-01,2259558939.0
85,"China, Hong Kong SAR",2010-07-01,189143706.415
86,France,2010-07-01,56693576.624
87,Germany,2010-07-01,689121167.652
88,Italy,2010-07-01,19332164.336
89,Japan,2010-07-01,585543864.662
90,Malaysia,2010-07-01,199272654.923
91,Netherlands,2010-07-01,335204757.632
92,Philippines,2010-07-01,31818991.0
93,Singapore,2010-07-01,183854315.0
94,Thailand,2010-07-01,23015093.0
95,USA,2010-07-01,288877920.0
96,Rep. of Korea,2010-07-01,208466286.927
97,Viet Nam,2010-07-01,402457.223
98,China,2010-08-01,2433894388.0
99,"China, Hong Kong SAR",2010-08-01,199736778.848
100,France,2010-08-01,31319968.555
101,Germany,2010-08-01,663874884.748
102,Italy,2010-08-01,39665575.026
103,Japan,2010-08-01,557314293.332
104,Malaysia,2010-08-01,205857378.977
105,Netherlands,2010-08-01,406930937.752
106,Philippines,2010-08-01,41278469.0
107,Singapore,2010-08-01,170270963.0
108,Thailand,2010-08-01,23633213.0
109,USA,2010-08-01,267344777.0
110,Rep. of Korea,2010-08-01,255749931.304
111,Viet Nam,2010-08-01,906401.544
112,China,2010-09-01,2588002168.0
