region,month,export_value
China,2010-01-01,54859265.402
China,2010-02-01,56190612.522
China,2010-03-01,73223459.175
China,2010-04-01,61378658.912
China,2010-05-01,88297920.686
China,2010-06-01,97344510.011
China,2010-07-01,128568786.438
China,2010-08-01,157919845.647
China,2010-09-01,124168959.018
China,2010-10-01,137417377.881
China,2010-11-01,227785389.785
China,2010-12-01,218390480.946
China,2011-01-01,195650641.943
China,2011-02-01,196325993.8
China,2011-03-01,202992771.933
China,2011-04-01,209871756.023
China,2011-05-01,216958069.263
China,2011-06-01,219223205.52
China,2011-07-01,245656168.689
China,2011-08-01,238603098.354
China,2011-09-01,231521757.453
China,2011-10-01,243359102.313
China,2011-11-01,341909486.764
China,2011-12-01,460391928.4
China,2012-01-01,477422629.202
China,2012-02-01,305959685.62
China,2012-03-01,145284418.727
China,2012-04-01,142929040.91
China,2012-05-01,134266885.405
China,2012-06-01,110598120.432
China,2012-07-01,89541572.463
China,2012-08-01,124594451.887
China,2012-09-01,128428030.28999999
China,2012-10-01,8630681.945
China,2012-11-01,10349059.947
China,2012-12-01,11594521.456
China,2013-01-01,89547049.858
China,2013-02-01,94053520.957
China,2013-03-01,99145253.501
China,2013-04-01,120354816.181
China,2013-05-01,134757683.02899998
China,2013-06-01,177108703.542
China,2013-07-01,191415660.113
China,2013-08-01,213331405.818
China,2013-09-01,216328894.372
China,2013-10-01,190414065.759
China,2013-11-01,181937950.227
China,2013-12-01,187485536.164
China,2014-01-01,154908536.79
China,2014-02-01,157390229.601
China,2014-03-01,237820364.985
China,2014-04-01,212409412.592
China,2014-05-01,303403786.744
China,2014-06-01,266611542.615
China,2014-07-01,222497006.128
China,2014-08-01,153622913.423
China,2014-09-01,241856804.896
China,2014-10-01,146220003.5
China,2014-11-01,179015065.976
China,2014-12-01,196393776.241
China,2015-01-01,115538797.505
China,2015-02-01,125743671.082
China,2015-03-01,214825698.214
China,2015-04-01,201659136.357
China,2015-05-01,186315362.288
China,2015-06-01,254968892.243
China,2015-07-01,217501772.709
China,2015-08-01,255913363.339
China,2015-09-01,224979553.991
China,2015-10-01,256137479.109
China,2015-11-01,264625838.511
China,2015-12-01,266107169.759
China,2016-01-01,229433771.245
China,2016-02-01,208957765.935
China,2016-03-01,225959070.774
China,2016-04-01,192859149.583
China,2016-05-01,199032204.639
China,2016-06-01,153007309.246
China,2016-07-01,119055999.801
China,2016-08-01,157768747.93
China,2016-09-01,58512885.731
China,2016-10-01,51700032.306
China,2016-11-01,52619204.797
China,2016-12-01,37438805.988
China,2017-01-01,33632028.999
China,2017-02-01,23903546.276
China,2017-03-01,32096508.937
China,2017-04-01,28396004.676
China,2017-05-01,29984510.957000002
China,2017-06-01,33046549.033
China,2017-07-01,45901301.969
China,2017-08-01,84937531.317
China,2017-09-01,181125675.84600002
China,2017-10-01,240817642.898
China,2017-11-01,162472752.24
China,2017-12-01,50708010.396
China,2018-01-01,33910184.441
China,2018-02-01,30804580.423
China,2018-03-01,34359789.671000004
China,2018-04-01,35656360.194
China,2018-05-01,34568319.717999995
China,2018-06-01,39101415.243
China,2018-07-01,18581724.0
China,2018-08-01,31912199.156999998
China,2018-09-01,26226600.041
China,2018-10-01,28919459.832000002
China,2018-11-01,26201983.281999998
China,2018-12-01,27180627.722
China,2019-01-01,28975505.134
China,2019-02-01,20024259.14
China,2019-03-01,31254977.148
China,2019-04-01,28239038.651
China,2019-05-01,24937289.020999998
China,2019-06-01,25072597.993
China,2019-07-01,25136041.950999998
China,2019-08-01,23430506.909
China,2019-09-01,31544974.155
China,2019-10-01,57939014.916
China,2019-11-01,73779896.939
China,2019-12-01,70780606.255
China,2020-01-01,74162108.893
China,2020-02-01,106012788.65
China,2020-03-01,102488021.734
China,2020-04-01,79046796.707
China,2020-05-01,95841460.73
China,2020-06-01,29322587.769
China,2020-07-01,43095348.942
China,2020-08-01,40046474.971
China,2020-09-01,39283907.676
China,2020-10-01,35885632.764
China,2020-11-01,38041701.089
China,2020-12-01,39469621.175
Europe,2010-01-01,9460980.141999999
Europe,2010-02-01,9135598.996
Europe,2010-03-01,12405486.201000001
Europe,2010-04-01,13205377.807999998
Europe,2010-05-01,12587652.588000001
Europe,2010-06-01,13949658.642
Europe,2010-07-01,22670682.482
Europe,2010-08-01,9979304.397
Europe,2010-09-01,12961691.496
Europe,2010-10-01,22812341.02
Europe,2010-11-01,16270889.986
Europe,2010-12-01,13853816.799
Europe,2011-01-01,17847808.368
Europe,2011-02-01,22244669.310000002
Europe,2011-03-01,29757601.505
Europe,2011-04-01,26315319.884
Europe,2011-05-01,21737531.667
Europe,2011-06-01,21017213.448
Europe,2011-07-01,21550175.436
Europe,2011-08-01,17630891.553
Europe,2011-09-01,16349466.590999998
Europe,2011-10-01,13144282.890999999
Europe,2011-11-01,9641410.835
Europe,2011-12-01,73716068.325
Europe,2012-01-01,9486424.204
Europe,2012-02-01,8847017.333
Europe,2012-03-01,11041858.961000001
Europe,2012-04-01,9290879.429
Europe,2012-05-01,14671272.231
Europe,2012-06-01,12666105.815000001
Europe,2012-07-01,13206178.306000002
Europe,2012-08-01,10027245.120000001
Europe,2012-09-01,31275479.965
Europe,2012-10-01,38386856.232
Europe,2012-11-01,32681476.124
Europe,2012-12-01,14772378.949000001
Europe,2013-01-01,6290512.624000001
Europe,2013-02-01,6822653.708000001
Europe,2013-03-01,9962035.418
Europe,2013-04-01,10759764.637
Europe,2013-05-01,8329693.886000001
Europe,2013-06-01,17555066.777
Europe,2013-07-01,11480935.992
Europe,2013-08-01,13027993.044
Europe,2013-09-01,9568672.640999999
Europe,2013-10-01,14079442.002
Europe,2013-11-01,6490663.609
Europe,2013-12-01,14972737.117999999
Europe,2014-01-01,10529406.442
Europe,2014-02-01,14260372.533
Europe,2014-03-01,10898609.257000001
Europe,2014-04-01,8457165.337
Europe,2014-05-01,11069216.791000001
Europe,2014-06-01,23288954.152
Europe,2014-07-01,25046857.558
Europe,2014-08-01,33156139.578999996
Europe,2014-09-01,27919132.796
Europe,2014-10-01,28292772.85
Europe,2014-11-01,22209348.123
Europe,2014-12-01,28299095.037
Europe,2015-01-01,23909847.248999998
Europe,2015-02-01,34058068.714999996
Europe,2015-03-01,37399986.076
Europe,2015-04-01,31478578.764
Europe,2015-05-01,47929704.43
Europe,2015-06-01,54460040.701
Europe,2015-07-01,54221712.541
Europe,2015-08-01,49642184.359000005
Europe,2015-09-01,66728434.621999994
Europe,2015-10-01,77378147.017
Europe,2015-11-01,75048631.645
Europe,2015-12-01,50544782.695
Europe,2016-01-01,37504145.544
Europe,2016-02-01,39324273.449
Europe,2016-03-01,44722479.419999994
Europe,2016-04-01,45501918.188999996
Europe,2016-05-01,41880021.506000005
Europe,2016-06-01,44883539.208000004
Europe,2016-07-01,43734552.116
Europe,2016-08-01,41011356.75
Europe,2016-09-01,40704927.185
Europe,2016-10-01,26794635.432000004
Europe,2016-11-01,25388720.055
Europe,2016-12-01,25640078.37
Europe,2017-01-01,29174926.734
Europe,2017-02-01,25161045.583
Europe,2017-03-01,33134252.803
Europe,2017-04-01,28905307.64
Europe,2017-05-01,30510637.127
Europe,2017-06-01,29127340.921
Europe,2017-07-01,30256485.849999998
Europe,2017-08-01,36686517.739
Europe,2017-09-01,30089397.539
Europe,2017-10-01,29302708.158
Europe,2017-11-01,24271360.588
Europe,2017-12-01,37187119.292
Europe,2018-01-01,31620366.36
Europe,2018-02-01,28961458.675
Europe,2018-03-01,28940792.581
Europe,2018-04-01,26526129.842
Europe,2018-05-01,26632605.016000003
Europe,2018-06-01,26749758.544
Europe,2018-07-01,22687324.78
Europe,2018-08-01,25627522.987
Europe,2018-09-01,21802295.656999998
Europe,2018-10-01,24554014.241
Europe,2018-11-01,26026578.853
Europe,2018-12-01,18295889.797
Europe,2019-01-01,27795179.518
Europe,2019-02-01,25397434.191999998
Europe,2019-03-01,31587606.8
Europe,2019-04-01,20480367.836
Europe,2019-05-01,15863176.696
Europe,2019-06-01,19415880.934
Europe,2019-07-01,18822260.738
Europe,2019-08-01,25357567.154999997
Europe,2019-09-01,28548136.325000003
Europe,2019-10-01,27208791.301999997
Europe,2019-11-01,30991181.406
Europe,2019-12-01,28982093.89
Europe,2020-01-01,27114224.828
Europe,2020-02-01,38520776.199
Europe,2020-03-01,36679574.025
Europe,2020-04-01,22524743.470999997
Europe,2020-05-01,21087290.377
Europe,2020-06-01,29712122.255999997
Europe,2020-07-01,27547678.367000002
Europe,2020-08-01,27325917.641000003
Europe,2020-09-01,26568172.271
Europe,2020-10-01,32828515.603
Europe,2020-11-01,30604016.836999997
Europe,2020-12-01,30994057.572
JP+KR,2010-01-01,23586224.02
JP+KR,2010-02-01,35112617.315
JP+KR,2010-03-01,36358413.884
JP+KR,2010-04-01,31469556.492
JP+KR,2010-05-01,32869478.903
JP+KR,2010-06-01,37339368.573
JP+KR,2010-07-01,39866549.52
JP+KR,2010-08-01,34011499.455
JP+KR,2010-09-01,42517967.207
JP+KR,2010-10-01,38078643.756
JP+KR,2010-11-01,40854625.264
JP+KR,2010-12-01,42973704.0
JP+KR,2011-01-01,35035477.29
JP+KR,2011-02-01,45051037.218
JP+KR,2011-03-01,41704120.826
JP+KR,2011-04-01,38214385.874
JP+KR,2011-05-01,31439991.401
JP+KR,2011-06-01,32510178.876
JP+KR,2011-07-01,36586371.635
JP+KR,2011-08-01,30553038.6
JP+KR,2011-09-01,58798610.0
JP+KR,2011-10-01,36530557.284
JP+KR,2011-11-01,41056970.2
JP+KR,2011-12-01,55954372.24
JP+KR,2012-01-01,53717726.654
JP+KR,2012-02-01,38821756.222
JP+KR,2012-03-01,38577108.557
JP+KR,2012-04-01,33909124.203
JP+KR,2012-05-01,40270762.732
JP+KR,2012-06-01,44537366.361
JP+KR,2012-07-01,63639035.163
JP+KR,2012-08-01,47867878.085
JP+KR,2012-09-01,50460862.716
JP+KR,2012-10-01,42807145.953
JP+KR,2012-11-01,45824005.255
JP+KR,2012-12-01,38572265.147
JP+KR,2013-01-01,26488647.744
JP+KR,2013-02-01,29704885.176
JP+KR,2013-03-01,33297498.55
JP+KR,2013-04-01,31210536.42
JP+KR,2013-05-01,31564279.331
JP+KR,2013-06-01,33917063.048
JP+KR,2013-07-01,35754403.1
JP+KR,2013-08-01,36419741.514
JP+KR,2013-09-01,38534039.894
JP+KR,2013-10-01,38807755.206
JP+KR,2013-11-01,30390636.595
JP+KR,2013-12-01,30915570.2
JP+KR,2014-01-01,33594194.097
JP+KR,2014-02-01,38126159.004
JP+KR,2014-03-01,35829212.504
JP+KR,2014-04-01,35633442.0
JP+KR,2014-05-01,33997288.064
JP+KR,2014-06-01,38610411.76
JP+KR,2014-07-01,40123824.79
JP+KR,2014-08-01,41869401.728
JP+KR,2014-09-01,45223611.025
JP+KR,2014-10-01,40064508.204
JP+KR,2014-11-01,42520747.0
JP+KR,2014-12-01,42809511.044
JP+KR,2015-01-01,51687035.014
JP+KR,2015-02-01,47711045.226
JP+KR,2015-03-01,48622158.585
JP+KR,2015-04-01,57173344.585
JP+KR,2015-05-01,50923270.2
JP+KR,2015-06-01,58116636.803
JP+KR,2015-07-01,55059121.116
JP+KR,2015-08-01,54421170.06
JP+KR,2015-09-01,76857384.562
JP+KR,2015-10-01,58372288.951
JP+KR,2015-11-01,46941296.705
JP+KR,2015-12-01,55772402.508
JP+KR,2016-01-01,54205750.065
JP+KR,2016-02-01,45332815.585
JP+KR,2016-03-01,47706720.468
JP+KR,2016-04-01,50137131.74
JP+KR,2016-05-01,42804651.29
JP+KR,2016-06-01,49573169.931
JP+KR,2016-07-01,50899206.204
JP+KR,2016-08-01,60629833.75
JP+KR,2016-09-01,63629658.785
JP+KR,2016-10-01,52096405.76
JP+KR,2016-11-01,37088723.265
JP+KR,2016-12-01,39340548.036
JP+KR,2017-01-01,36054156.41
JP+KR,2017-02-01,42325853.988
JP+KR,2017-03-01,46328904.104
JP+KR,2017-04-01,45767853.824
JP+KR,2017-05-01,35647295.036
JP+KR,2017-06-01,38467295.944
JP+KR,2017-07-01,43325309.169
JP+KR,2017-08-01,41402414.116
JP+KR,2017-09-01,43933570.613
JP+KR,2017-10-01,48555792.571
JP+KR,2017-11-01,66156437.39
JP+KR,2017-12-01,52169467.038
JP+KR,2018-01-01,43618313.621
JP+KR,2018-02-01,40863233.831
JP+KR,2018-03-01,48091124.173
JP+KR,2018-04-01,56050398.511
JP+KR,2018-05-01,41212328.031
JP+KR,2018-06-01,56231829.501
JP+KR,2018-07-01,54817493.231
JP+KR,2018-08-01,46936268.193
JP+KR,2018-09-01,45170808.155
JP+KR,2018-10-01,42741007.398
JP+KR,2018-11-01,41469685.667
JP+KR,2018-12-01,41377959.264
JP+KR,2019-01-01,38195524.647
JP+KR,2019-02-01,43495030.104
JP+KR,2019-03-01,48146266.097
JP+KR,2019-04-01,47255473.768
JP+KR,2019-05-01,43134618.494
JP+KR,2019-06-01,47703158.627
JP+KR,2019-07-01,46158403.88
JP+KR,2019-08-01,41581462.275
JP+KR,2019-09-01,42489891.273
JP+KR,2019-10-01,39287158.801
JP+KR,2019-11-01,33006564.874
JP+KR,2019-12-01,37478979.074
JP+KR,2020-01-01,31174589.264
JP+KR,2020-02-01,44203665.552
JP+KR,2020-03-01,44960350.34
JP+KR,2020-04-01,35554740.356
JP+KR,2020-05-01,27042868.201
JP+KR,2020-06-01,21700207.518
JP+KR,2020-07-01,25673222.732
JP+KR,2020-08-01,31717091.139
JP+KR,2020-09-01,34203110.236
JP+KR,2020-10-01,33221900.132
JP+KR,2020-11-01,37836714.059
JP+KR,2020-12-01,31751042.549
SoutheastAsia,2010-01-01,30641209.66
SoutheastAsia,2010-02-01,38662445.82
SoutheastAsia,2010-03-01,23513159.708
SoutheastAsia,2010-04-01,22075556.296
SoutheastAsia,2010-05-01,17231824.739
SoutheastAsia,2010-06-01,17394243.434
SoutheastAsia,2010-07-01,44897592.868
SoutheastAsia,2010-08-01,41789744.568
SoutheastAsia,2010-09-01,24797510.884
SoutheastAsia,2010-10-01,33465268.587
