region,month,export_value
China,2010-01-01,1220723109.191
China,2010-02-01,1465539482.801
China,2010-03-01,1731099762.559
China,2010-04-01,1773162458.927
China,2010-05-01,2110835724.213
China,2010-06-01,2079771105.372
China,2010-07-01,2448702645.415
China,2010-08-01,2633631166.848
China,2010-09-01,2771343592.553
China,2010-10-01,2981104195.77
China,2010-11-01,3630665347.79
China,2010-12-01,2419669119.881
China,2011-01-01,2566169512.369
China,2011-02-01,2304333418.41
China,2011-03-01,2945208872.627
China,2011-04-01,2992640447.065
China,2011-05-01,2980896666.422
China,2011-06-01,2577199602.97
China,2011-07-01,3082686566.891
China,2011-08-01,2485928575.14
China,2011-09-01,2212984737.106
China,2011-10-01,2223386119.356
China,2011-11-01,2571853509.506
China,2011-12-01,1754335088.479
China,2012-01-01,1533746490.877
China,2012-02-01,1497091723.921
China,2012-03-01,2093166211.9850001
China,2012-04-01,2355074235.343
China,2012-05-01,2586225908.105
China,2012-06-01,1826636188.6100001
China,2012-07-01,1697495725.327
China,2012-08-01,1510055695.036
China,2012-09-01,1345333796.832
China,2012-10-01,189965580.288
China,2012-11-01,212568731.765
China,2012-12-01,243513805.488
China,2013-01-01,1212130830.7680001
China,2013-02-01,1432830477.855
China,2013-03-01,1662909133.8639998
China,2013-04-01,1366923889.862
China,2013-05-01,1668589188.945
China,2013-06-01,1553235137.681
China,2013-07-01,1464624170.491
China,2013-08-01,1417364455.9390001
China,2013-09-01,1369482008.4220002
China,2013-10-01,1593002325.688
China,2013-11-01,1342050295.632
China,2013-12-01,1419480018.323
China,2014-01-01,2668902769.933
China,2014-02-01,1450098728.8379998
China,2014-03-01,1871172708.607
China,2014-04-01,1535619373.022
China,2014-05-01,1715637239.535
China,2014-06-01,1628086121.1509998
China,2014-07-01,1597331281.9229999
China,2014-08-01,1446331323.993
China,2014-09-01,1565935152.986
China,2014-10-01,1466294557.346
China,2014-11-01,1396303341.463
China,2014-12-01,1542240408.223
China,2015-01-01,1779889278.079
China,2015-02-01,1606013587.2020001
China,2015-03-01,1833032117.469
China,2015-04-01,1495677150.5170002
China,2015-05-01,1493849877.02
China,2015-06-01,1601654889.4829998
China,2015-07-01,1650489420.167
China,2015-08-01,1544506852.0349998
China,2015-09-01,1685522781.823
China,2015-10-01,2006943650.777
China,2015-11-01,1843441961.933
China,2015-12-01,2046270665.0960002
China,2016-01-01,1952181053.425
China,2016-02-01,1578384548.889
China,2016-03-01,1791131633.8
China,2016-04-01,1614710639.016
China,2016-05-01,1605532627.602
China,2016-06-01,1650941294.1069999
China,2016-07-01,1593334661.781
China,2016-08-01,1613000753.144
China,2016-09-01,1437904708.449
China,2016-10-01,1410096161.023
China,2016-11-01,1652763424.798
China,2016-12-01,1645191837.509
China,2017-01-01,1420086131.174
China,2017-02-01,1417116240.212
China,2017-03-01,1861409086.494
China,2017-04-01,1474040765.721
China,2017-05-01,1461215630.367
China,2017-06-01,1450906733.931
China,2017-07-01,1409264727.7649999
China,2017-08-01,1607925081.592
China,2017-09-01,1727261336.158
China,2017-10-01,1798587188.824
China,2017-11-01,1971123175.816
China,2017-12-01,2013442462.529
China,2018-01-01,1752401616.398
China,2018-02-01,1627450961.896
China,2018-03-01,1903505942.948
China,2018-04-01,1743137665.037
China,2018-05-01,1693237153.993
China,2018-06-01,1785827364.79
China,2018-07-01,1608766563.0
China,2018-08-01,1943399711.337
China,2018-09-01,1930540015.549
China,2018-10-01,1788578069.861
China,2018-11-01,1836264793.745
China,2018-12-01,1851806013.141
China,2019-01-01,1925049321.3
China,2019-02-01,1694823554.351
China,2019-03-01,2730351836.999
China,2019-04-01,2247345601.8719997
China,2019-05-01,2519709127.972
China,2019-06-01,2283536405.732
China,2019-07-01,2416069131.803
China,2019-08-01,2438489682.353
China,2019-09-01,2429763045.272
China,2019-10-01,2174263723.193
China,2019-11-01,2018297811.709
China,2019-12-01,1959749225.667
China,2020-01-01,1928673231.012
China,2020-02-01,1190795904.023
China,2020-03-01,2328375165.737
China,2020-04-01,2263401594.111
China,2020-05-01,2202476832.09
China,2020-06-01,2106706052.192
China,2020-07-01,2273443459.098
China,2020-08-01,2297100911.957
China,2020-09-01,2684099877.95
China,2020-10-01,2541626552.1280003
China,2020-11-01,2773678690.0950003
China,2020-12-01,2510439529.233
Europe,2010-01-01,600217155.249
Europe,2010-02-01,652954018.549
Europe,2010-03-01,930142945.996
Europe,2010-04-01,901080263.385
Europe,2010-05-01,935850647.758
Europe,2010-06-01,1119432172.526
Europe,2010-07-01,1100351666.244
Europe,2010-08-01,1141791366.0809999
Europe,2010-09-01,1422471370.79
Europe,2010-10-01,1590784225.758
Europe,2010-11-01,1710395636.297
Europe,2010-12-01,1771877587.875
Europe,2011-01-01,707222664.752
Europe,2011-02-01,789798121.102
Europe,2011-03-01,1052082986.447
Europe,2011-04-01,927809811.678
Europe,2011-05-01,901793221.863
Europe,2011-06-01,1087952825.612
Europe,2011-07-01,988914508.428
Europe,2011-08-01,920666224.6170001
Europe,2011-09-01,898848451.6780001
Europe,2011-10-01,659895742.5979999
Europe,2011-11-01,797483139.598
Europe,2011-12-01,637118655.708
Europe,2012-01-01,430820680.02199996
Europe,2012-02-01,572242171.836
